nz,d_dim,lr,lr_adv,lam,batch_size,Epoch,Train AUC,Train Accuracy,Train F1,Train Recall,Train Precision,Train W_distance,Train critic_loss,Train gen_loss,Train total_loss,Val AUC,Val Accuracy,Val F1,Val Recall,Val Precision,Val W_distance,Val critic_loss,Val gen_loss,Val total_loss,Test AUC,Test Accuracy,Test F1,Test Recall,Test Precision,Test W_distance,Test critic_loss,Test gen_loss,Test total_loss,Iteration
128,128,0.0001,2.0000000000000003e-06,0.0001,"[256, 28]",0,0.498123997821583,0.3137784090909091,0.2095876963350785,0.7566450088600118,0.1216408698129332,0.0288023769178173,37.52678783590143,0.6043760045008226,0.6051159031902662,0.5682355918384432,0.6899844548079058,0.2278761061946903,0.389413988657845,0.1610633307271305,0.1467643976211547,-0.1467643976211547,0.3621784746646881,0.3621638119220733,0.4387890494543682,0.5225225225225225,0.1117318435754189,0.0619195046439628,0.5714285714285714,0.1460058987140655,-0.1460058987140655,0.9122447371482848,0.9122301340103148,<built-in function iter>
128,128,0.0001,2.0000000000000003e-06,0.0001,"[256, 28]",0,0.4986910046710168,0.7416193181818181,0.1574803149606299,0.2135678391959799,0.1247248716067498,0.0403573913330381,43.14575250799005,0.5625599536028776,0.5634103349755026,0.611976195666226,0.6449033977348434,0.2621135209967697,0.5318352059925093,0.1739130434782608,0.1574116200208664,-0.1574116200208664,0.3653149008750915,0.3652991652488708,0.4248707001597631,0.5225225225225225,0.1451612903225806,0.0835913312693498,0.5510204081632653,0.1583603769540786,-0.1583603769540786,0.933321475982666,0.9333056211471558,<built-in function iter>
128,128,0.0001,2.0000000000000003e-06,0.0001,"[256, 28]",0,0.5066501606259698,0.6786221590909091,0.1774222868569351,0.2920406941950927,0.1274151436031331,0.0205976503181525,42.13038591905074,0.5477630230513486,0.5485934599659659,0.5793609631055682,0.5762824783477681,0.2380191693290734,0.5719769673704415,0.1502773575390822,0.0760378241539001,-0.0760378241539001,0.357048362493515,0.3570407629013061,0.4538717742736192,0.5255255255255256,0.1318681318681318,0.0743034055727554,0.5853658536585366,0.0765313059091568,-0.0765313059091568,0.9223366975784302,0.9223290681838988,<built-in function iter>
128,128,0.0001,2.0000000000000003e-06,0.0001,"[256, 28]",0,0.4935775865740856,0.8191761363636364,0.1110335195530726,0.0955528846153846,0.1325,0.0081315963105721,41.89983079216697,0.7195986563509161,0.7204243997296418,0.5669981058312301,0.5247612702642682,0.2263195950831526,0.6042471042471043,0.1392348754448398,0.05337356030941,-0.05337356030941,0.5022208094596863,0.5022154450416565,0.4661112565326882,0.527027027027027,0.1322314049586777,0.0743034055727554,0.6,0.0536437481641769,-0.0536437481641769,0.7051918506622314,0.7051864862442017,<built-in function iter>
128,128,0.0001,2.0000000000000003e-06,0.0001,"[256, 28]",0,0.5088668732285616,0.525,0.1947989405249217,0.5006188118811881,0.1209267563527653,-0.0003336139700629,42.564645411751485,0.5928458918224682,0.5936845366425947,0.5859955659484565,0.5269820119920053,0.2441447835344216,0.647834274952919,0.1504153913423699,-0.0006715804338455,0.0006715804338455,0.3862063288688659,0.3862063884735107,0.4177580806758794,0.524024024024024,0.1409214092140921,0.0804953560371517,0.5652173913043478,-5.2422285079956055e-05,5.2422285079956055e-05,1.0144284963607788,1.0144284963607788,<built-in function iter>
256,256,0.0001,2.0000000000000003e-06,0.001,"[256, 28]",0,0.4892265226369769,0.1392755681818182,0.2066121112929623,0.97467572575664,0.1155536028119507,0.0087013769556175,38.6612287087874,0.5328994929790497,0.540520974779129,0.5903652569680238,0.7523872973573174,0.2707652060170045,0.391304347826087,0.207,0.0419132076203823,-0.0419132076203823,0.3724838197231293,0.3724419176578522,0.4639540026536931,0.524024024024024,0.1501340482573726,0.0866873065015479,0.56,0.0407370962202549,-0.0407370962202549,1.009048581123352,1.0090078115463257,<built-in function iter>
256,256,0.0001,2.0000000000000003e-06,0.001,"[256, 28]",0,0.4978323775089981,0.1915482954545454,0.2038189830034272,0.9111944965603502,0.1147424791305717,-0.0121519692580808,38.05880080136386,0.5500458115881139,0.5575472963463175,0.6189990214423958,0.7626027093049078,0.2878081279147235,0.4044943820224719,0.2233712512926577,-0.0103822946548461,0.0103822946548461,0.3762081563472748,0.3762185275554657,0.4139761167624944,0.5180180180180181,0.1008403361344537,0.0557275541795665,0.5294117647058824,-0.0112706199288368,0.0112706199288368,1.0189061164855957,1.018917441368103,<built-in function iter>
256,256,0.0001,2.0000000000000003e-06,0.001,"[256, 28]",0,0.4892792653138669,0.2095170454545454,0.2094047449921864,0.8863499699338545,0.1187273459524768,0.0500271481546488,38.776016772877085,0.5913600439375097,0.5990029033357446,0.5755400260866799,0.5665112147457251,0.2296764009471192,0.5585412667946257,0.1445603576751117,0.1850349605083465,-0.1850349605083465,0.3623027205467224,0.3621176779270172,0.4367220572439502,0.521021021021021,0.1212121212121212,0.0681114551083591,0.55,0.1850695013999939,-0.1850695013999939,0.9622064232826232,0.9620213508605956,<built-in function iter>
256,256,0.0001,2.0000000000000003e-06,0.001,"[256, 28]",0,0.5078117446244468,0.6134232954545454,0.1870052277819268,0.3847572218807621,0.1235201262825572,-0.0432529999451203,39.04891757965088,0.653677062554793,0.6613722276600922,0.5727535206832571,0.5449700199866756,0.2259161314695882,0.5772200772200772,0.14044152184124,-0.1656858921051025,0.1656858921051025,0.4416079819202423,0.4417736530303955,0.4301961386058182,0.521021021021021,0.1014084507042253,0.0557275541795665,0.5625,-0.1641778498888015,0.1641778498888015,0.7343836426734924,0.7345477938652039,<built-in function iter>
256,256,0.0001,2.0000000000000003e-06,0.001,"[256, 28]",0,0.5022414920353715,0.8146306818181818,0.1134510869565217,0.098293113596233,0.1341365461847389,0.0715423193167556,41.26064397638494,0.5333356326276606,0.541472694977847,0.599692669780744,0.657339551410171,0.2571015888300433,0.5028248587570622,0.1727037516170763,0.2621135711669922,-0.2621135711669922,0.3713000416755676,0.3710379302501678,0.4424175685311718,0.527027027027027,0.1225626740947075,0.0681114551083591,0.6111111111111112,0.2615594565868377,-0.2615594565868377,1.003403663635254,1.0031421184539795,<built-in function iter>
100,256,0.0001,2e-05,0.0001,"[128, 14]",0,0.5146775347617155,0.4317989864864865,0.2107732916218594,0.6293053123175715,0.1265852512916862,0.3232640591512963,31.29315625439893,0.4803018008803462,0.4809247013306832,0.6191561311092992,0.7710415278703087,0.2933516106922549,0.4045368620037807,0.2301075268817204,1.079902410507202,-1.079902410507202,0.3555776178836822,0.3554696142673492,0.4233723564613815,0.5225225225225225,0.0755813953488372,0.0402476780185758,0.6190476190476191,1.072819471359253,-1.072819471359253,0.9530802965164183,0.9529730081558228,<built-in function iter>
100,256,0.0001,2e-05,0.0001,"[128, 14]",0,0.5117205898063002,0.3546593468468468,0.2127586502962136,0.7331360946745562,0.1244350708044591,0.0222671842118641,30.788663211169546,0.4461969650006509,0.4468111650398187,0.6483498518008952,0.6129247168554297,0.2716255745925616,0.6086142322097379,0.1748251748251748,0.2140668034553527,-0.2140668034553527,0.3535711765289306,0.3535497784614563,0.4547382862919604,0.53003003003003,0.1471389645776566,0.0835913312693498,0.6136363636363636,0.2158499956130981,-0.2158499956130981,0.946727693080902,0.9467061161994934,<built-in function iter>
100,256,0.0001,2e-05,0.0001,"[128, 14]",0,0.5161087822565067,0.3208755630630631,0.2092927968532328,0.7683513838748496,0.1211460013281472,0.1735396048406491,35.12900717408807,0.4770224111842679,0.4777218704242963,0.6203187857836271,0.75194314901177,0.279819471308833,0.4165067178502879,0.2106796116504854,0.8456926345825195,-0.8456926345825195,0.3515855073928833,0.351500928401947,0.4413073500076723,0.506006006006006,0.5973072215422277,0.7554179566563467,0.4939271255060729,0.8444796800613403,-0.8444796800613403,0.9386739134788512,0.9385894536972046,<built-in function iter>
100,256,0.0001,2e-05,0.0001,"[128, 14]",0,0.5068787375789497,0.3355855855855856,0.2063225155540609,0.7396021699819169,0.1198827552515876,0.2940453955450574,35.215285945583034,0.4512173791189451,0.4519182517124726,0.6249659679396191,0.770819453697535,0.2813370473537604,0.3899613899613899,0.2200435729847494,0.7535640001296997,-0.7535640001296997,0.3515888154506683,0.3515134453773498,0.4437308758089702,0.512012012012012,0.5849297573435505,0.7089783281733746,0.4978260869565217,0.7512730360031128,-0.7512730360031128,0.9959441423416138,0.9958690404891968,<built-in function iter>
